DateTime,Junction,Pcu
2015-11-01,Swargate Bus Stand,9
2015-11-02,Swargate Bus Stand,7
2015-11-03,Swargate Bus Stand,5
2015-11-04,Swargate Bus Stand,1
2015-11-05,Swargate Bus Stand,2
2015-11-06,Swargate Bus Stand,2
2015-11-07,Swargate Bus Stand,3
2015-11-08,Swargate Bus Stand,4
2015-11-09,Swargate Bus Stand,3
2015-11-10,Swargate Bus Stand,6
2015-11-11,Swargate Bus Stand,12
2015-11-12,Swargate Bus Stand,6
2015-11-13,Swargate Bus Stand,6
2015-11-14,Swargate Bus Stand,9
2015-11-15,Swargate Bus Stand,6
2015-11-16,Swargate Bus Stand,6
2015-11-17,Swargate Bus Stand,4
2015-11-18,Swargate Bus Stand,4
2015-11-19,Swargate Bus Stand,6
2015-11-20,Swargate Bus Stand,5
2015-11-21,Swargate Bus Stand,11
2015-11-22,Swargate Bus Stand,8
2015-11-23,Swargate Bus Stand,6
2015-11-24,Swargate Bus Stand,5
2015-11-25,Swargate Bus Stand,5
2015-11-26,Swargate Bus Stand,3
2015-11-27,Swargate Bus Stand,5
2015-11-28,Swargate Bus Stand,5
2015-11-29,Swargate Bus Stand,3
2015-11-30,Swargate Bus Stand,1
2015-12-01,Swargate Bus Stand,5
2015-12-02,Swargate Bus Stand,1
2015-12-03,Swargate Bus Stand,5
2015-12-04,Swargate Bus Stand,8
2015-12-05,Swargate Bus Stand,10
2015-12-06,Swargate Bus Stand,10
2015-12-07,Swargate Bus Stand,11
2015-12-08,Swargate Bus Stand,7
2015-12-09,Swargate Bus Stand,6
2015-12-10,Swargate Bus Stand,9
2015-12-11,Swargate Bus Stand,6
2015-12-12,Swargate Bus Stand,6
2015-12-13,Swargate Bus Stand,8
2015-12-14,Swargate Bus Stand,7
2015-12-15,Swargate Bus Stand,13
2015-12-16,Swargate Bus Stand,15
2015-12-17,Swargate Bus Stand,9
2015-12-18,Swargate Bus Stand,8
2015-12-19,Swargate Bus Stand,10
2015-12-20,Swargate Bus Stand,4
2015-12-21,Swargate Bus Stand,7
2015-12-22,Swargate Bus Stand,5
2015-12-23,Swargate Bus Stand,4
2015-12-24,Swargate Bus Stand,4
2015-12-25,Swargate Bus Stand,3
2015-12-26,Swargate Bus Stand,5
2015-12-27,Swargate Bus Stand,6
2015-12-28,Swargate Bus Stand,6
2015-12-29,Swargate Bus Stand,10
2015-12-30,Swargate Bus Stand,8
2015-12-31,Swargate Bus Stand,10
2016-01-01,Swargate Bus Stand,5
2016-01-02,Swargate Bus Stand,8
2016-01-03,Swargate Bus Stand,8
2016-01-04,Swargate Bus Stand,5
2016-01-05,Swargate Bus Stand,7
2016-01-06,Swargate Bus Stand,4
2016-01-07,Swargate Bus Stand,7
2016-01-08,Swargate Bus Stand,6
2016-01-09,Swargate Bus Stand,6
2016-01-10,Swargate Bus Stand,9
2016-01-11,Swargate Bus Stand,3
2016-01-12,Swargate Bus Stand,2
2016-01-13,Swargate Bus Stand,6
2016-01-14,Swargate Bus Stand,3
2016-01-15,Swargate Bus Stand,6
2016-01-16,Swargate Bus Stand,1
2016-01-17,Swargate Bus Stand,6
2016-01-18,Swargate Bus Stand,2
2016-01-19,Swargate Bus Stand,3
2016-01-20,Swargate Bus Stand,5
2016-01-21,Swargate Bus Stand,5
2016-01-22,Swargate Bus Stand,3
2016-01-23,Swargate Bus Stand,4
2016-01-24,Swargate Bus Stand,7
2016-01-25,Swargate Bus Stand,5
2016-01-26,Swargate Bus Stand,5
2016-01-27,Swargate Bus Stand,7
2016-01-28,Swargate Bus Stand,9
2016-01-29,Swargate Bus Stand,8
2016-01-30,Swargate Bus Stand,7
2016-01-31,Swargate Bus Stand,6
2016-02-01,Swargate Bus Stand,8
2016-02-02,Swargate Bus Stand,5
2016-02-03,Swargate Bus Stand,4
2016-02-04,Swargate Bus Stand,4
2016-02-05,Swargate Bus Stand,6
2016-02-06,Swargate Bus Stand,3
2016-02-07,Swargate Bus Stand,1
2016-02-08,Swargate Bus Stand,2
2016-02-09,Swargate Bus Stand,1
2016-02-10,Swargate Bus Stand,4
2016-02-11,Swargate Bus Stand,4
2016-02-12,Swargate Bus Stand,4
2016-02-13,Swargate Bus Stand,4
2016-02-14,Swargate Bus Stand,5
2016-02-15,Swargate Bus Stand,5
2016-02-16,Swargate Bus Stand,2
2016-02-17,Swargate Bus Stand,7
2016-02-18,Swargate Bus Stand,6
2016-02-19,Swargate Bus Stand,5
2016-02-20,Swargate Bus Stand,4
2016-02-21,Swargate Bus Stand,4
2016-02-22,Swargate Bus Stand,6
2016-02-23,Swargate Bus Stand,8
2016-02-24,Swargate Bus Stand,4
2016-02-25,Swargate Bus Stand,6
2016-02-26,Swargate Bus Stand,5
2016-02-27,Swargate Bus Stand,4
2016-02-28,Swargate Bus Stand,6
2016-02-29,Swargate Bus Stand,3
2016-03-01,Swargate Bus Stand,3
2016-03-02,Swargate Bus Stand,2
2016-03-03,Swargate Bus Stand,3
2016-03-04,Swargate Bus Stand,1
2016-03-05,Swargate Bus Stand,3
2016-03-06,Swargate Bus Stand,2
2016-03-07,Swargate Bus Stand,5
2016-03-08,Swargate Bus Stand,3
2016-03-09,Swargate Bus Stand,7
2016-03-10,Swargate Bus Stand,2
2016-03-11,Swargate Bus Stand,6
2016-03-12,Swargate Bus Stand,5
2016-03-13,Swargate Bus Stand,3
2016-03-14,Swargate Bus Stand,7
2016-03-15,Swargate Bus Stand,3
2016-03-16,Swargate Bus Stand,5
2016-03-17,Swargate Bus Stand,5
2016-03-18,Swargate Bus Stand,8
2016-03-19,Swargate Bus Stand,6
2016-03-20,Swargate Bus Stand,2
2016-03-21,Swargate Bus Stand,5
2016-03-22,Swargate Bus Stand,6
2016-03-23,Swargate Bus Stand,6
2016-03-24,Swargate Bus Stand,3
2016-03-25,Swargate Bus Stand,6
2016-03-26,Swargate Bus Stand,3
2016-03-27,Swargate Bus Stand,4
2016-03-28,Swargate Bus Stand,5
2016-03-29,Swargate Bus Stand,6
2016-03-30,Swargate Bus Stand,1
2016-03-31,Swargate Bus Stand,2
2016-04-01,Swargate Bus Stand,2
2016-04-02,Swargate Bus Stand,2
2016-04-03,Swargate Bus Stand,3
2016-04-04,Swargate Bus Stand,4
2016-04-05,Swargate Bus Stand,4
2016-04-06,Swargate Bus Stand,3
2016-04-07,Swargate Bus Stand,9
2016-04-08,Swargate Bus Stand,3
2016-04-09,Swargate Bus Stand,5
2016-04-10,Swargate Bus Stand,4
2016-04-11,Swargate Bus Stand,4
2016-04-12,Swargate Bus Stand,5
2016-04-13,Swargate Bus Stand,7
2016-04-14,Swargate Bus Stand,3
2016-04-15,Swargate Bus Stand,6
2016-04-16,Swargate Bus Stand,3
2016-04-17,Swargate Bus Stand,4
2016-04-18,Swargate Bus Stand,6
2016-04-19,Swargate Bus Stand,3
2016-04-20,Swargate Bus Stand,3
2016-04-21,Swargate Bus Stand,5
2016-04-22,Swargate Bus Stand,5
2016-04-23,Swargate Bus Stand,2
2016-04-24,Swargate Bus Stand,5
2016-04-25,Swargate Bus Stand,5
2016-04-26,Swargate Bus Stand,6
2016-04-27,Swargate Bus Stand,10
2016-04-28,Swargate Bus Stand,11
2016-04-29,Swargate Bus Stand,3
2016-04-30,Swargate Bus Stand,3
2016-05-01,Swargate Bus Stand,6
2016-05-02,Swargate Bus Stand,4
2016-05-03,Swargate Bus Stand,2
2016-05-04,Swargate Bus Stand,2
2016-05-05,Swargate Bus Stand,7
2016-05-06,Swargate Bus Stand,6
2016-05-07,Swargate Bus Stand,5
2016-05-08,Swargate Bus Stand,6
2016-05-09,Swargate Bus Stand,6
2016-05-10,Swargate Bus Stand,3
2016-05-11,Swargate Bus Stand,3
2016-05-12,Swargate Bus Stand,5
2016-05-13,Swargate Bus Stand,2
2016-05-14,Swargate Bus Stand,6
2016-05-15,Swargate Bus Stand,2
2016-05-16,Swargate Bus Stand,5
2016-05-17,Swargate Bus Stand,5
2016-05-18,Swargate Bus Stand,2
2016-05-19,Swargate Bus Stand,6
2016-05-20,Swargate Bus Stand,7
2016-05-21,Swargate Bus Stand,5
2016-05-22,Swargate Bus Stand,5
2016-05-23,Swargate Bus Stand,6
2016-05-24,Swargate Bus Stand,4
2016-05-25,Swargate Bus Stand,6
2016-05-26,Swargate Bus Stand,3
2016-05-27,Swargate Bus Stand,4
2016-05-28,Swargate Bus Stand,4
2016-05-29,Swargate Bus Stand,6
2016-05-30,Swargate Bus Stand,8
2016-05-31,Swargate Bus Stand,6
2016-06-01,Swargate Bus Stand,5
2016-06-02,Swargate Bus Stand,8
2016-06-03,Swargate Bus Stand,8
2016-06-04,Swargate Bus Stand,12
2016-06-05,Swargate Bus Stand,6
2016-06-06,Swargate Bus Stand,7
2016-06-07,Swargate Bus Stand,4
2016-06-08,Swargate Bus Stand,6
2016-06-09,Swargate Bus Stand,7
2016-06-10,Swargate Bus Stand,3
2016-06-11,Swargate Bus Stand,6
2016-06-12,Swargate Bus Stand,4
2016-06-13,Swargate Bus Stand,6
2016-06-14,Swargate Bus Stand,5
2016-06-15,Swargate Bus Stand,5
2016-06-16,Swargate Bus Stand,2
2016-06-17,Swargate Bus Stand,4
2016-06-18,Swargate Bus Stand,7
2016-06-19,Swargate Bus Stand,6
2016-06-20,Swargate Bus Stand,4
2016-06-21,Swargate Bus Stand,6
2016-06-22,Swargate Bus Stand,2
2016-06-23,Swargate Bus Stand,5
2016-06-24,Swargate Bus Stand,7
2016-06-25,Swargate Bus Stand,9
2016-06-26,Swargate Bus Stand,6
2016-06-27,Swargate Bus Stand,7
2016-06-28,Swargate Bus Stand,6
2016-06-29,Swargate Bus Stand,5
2016-06-30,Swargate Bus Stand,3
2016-07-01,Swargate Bus Stand,5
2016-07-02,Swargate Bus Stand,6
2016-07-03,Swargate Bus Stand,2
2016-07-04,Swargate Bus Stand,4
2016-07-05,Swargate Bus Stand,3
2016-07-06,Swargate Bus Stand,2
2016-07-07,Swargate Bus Stand,6
2016-07-08,Swargate Bus Stand,3
2016-07-09,Swargate Bus Stand,3
2016-07-10,Swargate Bus Stand,6
2016-07-11,Swargate Bus Stand,5
2016-07-12,Swargate Bus Stand,6
2016-07-13,Swargate Bus Stand,4
2016-07-14,Swargate Bus Stand,4
2016-07-15,Swargate Bus Stand,6
2016-07-16,Swargate Bus Stand,5
2016-07-17,Swargate Bus Stand,6
2016-07-18,Swargate Bus Stand,5
2016-07-19,Swargate Bus Stand,8
2016-07-20,Swargate Bus Stand,2
2016-07-21,Swargate Bus Stand,6
2016-07-22,Swargate Bus Stand,6
2016-07-23,Swargate Bus Stand,5
2016-07-24,Swargate Bus Stand,4
2016-07-25,Swargate Bus Stand,3
2016-07-26,Swargate Bus Stand,5
2016-07-27,Swargate Bus Stand,2
2016-07-28,Swargate Bus Stand,1
2016-07-29,Swargate Bus Stand,5
2016-07-30,Swargate Bus Stand,5
2016-07-31,Swargate Bus Stand,2
2016-08-01,Swargate Bus Stand,5
2016-08-02,Swargate Bus Stand,6
2016-08-03,Swargate Bus Stand,6
2016-08-04,Swargate Bus Stand,6
2016-08-05,Swargate Bus Stand,3
2016-08-06,Swargate Bus Stand,8
2016-08-07,Swargate Bus Stand,4
2016-08-08,Swargate Bus Stand,6
2016-08-09,Swargate Bus Stand,9
2016-08-10,Swargate Bus Stand,6
2016-08-11,Swargate Bus Stand,4
2016-08-12,Swargate Bus Stand,7
2016-08-13,Swargate Bus Stand,3
2016-08-14,Swargate Bus Stand,5
2016-08-15,Swargate Bus Stand,4
2016-08-16,Swargate Bus Stand,3
2016-08-17,Swargate Bus Stand,4
2016-08-18,Swargate Bus Stand,6
2016-08-19,Swargate Bus Stand,4
2016-08-20,Swargate Bus Stand,2
2016-08-21,Swargate Bus Stand,5
2016-08-22,Swargate Bus Stand,3
2016-08-23,Swargate Bus Stand,4
2016-08-24,Swargate Bus Stand,3
2016-08-25,Swargate Bus Stand,4
2016-08-26,Swargate Bus Stand,8
2016-08-27,Swargate Bus Stand,3
2016-08-28,Swargate Bus Stand,4
2016-08-29,Swargate Bus Stand,3
2016-08-30,Swargate Bus Stand,5
2016-08-31,Swargate Bus Stand,5
2016-09-01,Swargate Bus Stand,8
2016-09-02,Swargate Bus Stand,4
2016-09-03,Swargate Bus Stand,5
2016-09-04,Swargate Bus Stand,6
2016-09-05,Swargate Bus Stand,6
2016-09-06,Swargate Bus Stand,6
2016-09-07,Swargate Bus Stand,8
2016-09-08,Swargate Bus Stand,3
2016-09-09,Swargate Bus Stand,4
2016-09-10,Swargate Bus Stand,7
2016-09-11,Swargate Bus Stand,5
2016-09-12,Swargate Bus Stand,1
2016-09-13,Swargate Bus Stand,2
2016-09-14,Swargate Bus Stand,5
2016-09-15,Swargate Bus Stand,5
2016-09-16,Swargate Bus Stand,6
2016-09-17,Swargate Bus Stand,3
2016-09-18,Swargate Bus Stand,5
2016-09-19,Swargate Bus Stand,4
2016-09-20,Swargate Bus Stand,6
2016-09-21,Swargate Bus Stand,2
2016-09-22,Swargate Bus Stand,6
2016-09-23,Swargate Bus Stand,4
2016-09-24,Swargate Bus Stand,2
2016-09-25,Swargate Bus Stand,6
2016-09-26,Swargate Bus Stand,4
2016-09-27,Swargate Bus Stand,3
2016-09-28,Swargate Bus Stand,4
2016-09-29,Swargate Bus Stand,5
2016-09-30,Swargate Bus Stand,2
2016-10-01,Swargate Bus Stand,5
2016-10-02,Swargate Bus Stand,6
2016-10-03,Swargate Bus Stand,4
2016-10-04,Swargate Bus Stand,1
2016-10-05,Swargate Bus Stand,3
2016-10-06,Swargate Bus Stand,3
2016-10-07,Swargate Bus Stand,1
2016-10-08,Swargate Bus Stand,2
2016-10-09,Swargate Bus Stand,3
2016-10-10,Swargate Bus Stand,6
2016-10-11,Swargate Bus Stand,2
2016-10-12,Swargate Bus Stand,3
2016-10-13,Swargate Bus Stand,2
2016-10-14,Swargate Bus Stand,4
2016-10-15,Swargate Bus Stand,2
2016-10-16,Swargate Bus Stand,6
2016-10-17,Swargate Bus Stand,6
2016-10-18,Swargate Bus Stand,2
2016-10-19,Swargate Bus Stand,6
2016-10-20,Swargate Bus Stand,2
2016-10-21,Swargate Bus Stand,3
2016-10-22,Swargate Bus Stand,5
2016-10-23,Swargate Bus Stand,5
2016-10-24,Swargate Bus Stand,2
2016-10-25,Swargate Bus Stand,4
2016-10-26,Swargate Bus Stand,6
2016-10-27,Swargate Bus Stand,5
2016-10-28,Swargate Bus Stand,1
2016-10-29,Swargate Bus Stand,5
2016-10-30,Swargate Bus Stand,1
2016-10-31,Swargate Bus Stand,4
2016-11-01,Swargate Bus Stand,3
2016-11-02,Swargate Bus Stand,5
2016-11-03,Swargate Bus Stand,2
2016-11-04,Swargate Bus Stand,3
2016-11-05,Swargate Bus Stand,5
2016-11-06,Swargate Bus Stand,7
2016-11-07,Swargate Bus Stand,6
2016-11-08,Swargate Bus Stand,4
2016-11-09,Swargate Bus Stand,6
2016-11-10,Swargate Bus Stand,8
2016-11-11,Swargate Bus Stand,11
2016-11-12,Swargate Bus Stand,13
2016-11-13,Swargate Bus Stand,5
2016-11-14,Swargate Bus Stand,12
2016-11-15,Swargate Bus Stand,8
2016-11-16,Swargate Bus Stand,7
2016-11-17,Swargate Bus Stand,9
2016-11-18,Swargate Bus Stand,6
2016-11-19,Swargate Bus Stand,12
2016-11-20,Swargate Bus Stand,11
2016-11-21,Swargate Bus Stand,4
2016-11-22,Swargate Bus Stand,6
2016-11-23,Swargate Bus Stand,4
2016-11-24,Swargate Bus Stand,3
2016-11-25,Swargate Bus Stand,4
2016-11-26,Swargate Bus Stand,7
2016-11-27,Swargate Bus Stand,6
2016-11-28,Swargate Bus Stand,7
2016-11-29,Swargate Bus Stand,8
2016-11-30,Swargate Bus Stand,7
2016-12-01,Swargate Bus Stand,9
2016-12-02,Swargate Bus Stand,4
2016-12-03,Swargate Bus Stand,6
2016-12-04,Swargate Bus Stand,13
2016-12-05,Swargate Bus Stand,8
2016-12-06,Swargate Bus Stand,7
2016-12-07,Swargate Bus Stand,6
2016-12-08,Swargate Bus Stand,8
2016-12-09,Swargate Bus Stand,5
2016-12-10,Swargate Bus Stand,8
2016-12-11,Swargate Bus Stand,10
2016-12-12,Swargate Bus Stand,6
2016-12-13,Swargate Bus Stand,4
2016-12-14,Swargate Bus Stand,6
2016-12-15,Swargate Bus Stand,2
2016-12-16,Swargate Bus Stand,4
2016-12-17,Swargate Bus Stand,4
2016-12-18,Swargate Bus Stand,5
2016-12-19,Swargate Bus Stand,5
2016-12-20,Swargate Bus Stand,5
2016-12-21,Swargate Bus Stand,1
2016-12-22,Swargate Bus Stand,8
2016-12-23,Swargate Bus Stand,29
2016-12-24,Swargate Bus Stand,29
2016-12-25,Swargate Bus Stand,18
2016-12-26,Swargate Bus Stand,16
2016-12-27,Swargate Bus Stand,19
2016-12-28,Swargate Bus Stand,17
2016-12-29,Swargate Bus Stand,15
2016-12-30,Swargate Bus Stand,25
2016-12-31,Swargate Bus Stand,32
2017-01-01,Swargate Bus Stand,34
2017-01-02,Swargate Bus Stand,30
2017-01-03,Swargate Bus Stand,25
2017-01-04,Swargate Bus Stand,23
2017-01-05,Swargate Bus Stand,16
2017-01-06,Swargate Bus Stand,14
2017-01-07,Swargate Bus Stand,11
2017-01-08,Swargate Bus Stand,7
2017-01-09,Swargate Bus Stand,8
2017-01-10,Swargate Bus Stand,6
2017-01-11,Swargate Bus Stand,4
2017-01-12,Swargate Bus Stand,7
2017-01-13,Swargate Bus Stand,6
2017-01-14,Swargate Bus Stand,7
2017-01-15,Swargate Bus Stand,15
2017-01-16,Swargate Bus Stand,14
2017-01-17,Swargate Bus Stand,16
2017-01-18,Swargate Bus Stand,20
2017-01-19,Swargate Bus Stand,24
2017-01-20,Swargate Bus Stand,35
2017-01-21,Swargate Bus Stand,39
2017-01-22,Swargate Bus Stand,39
2017-01-23,Swargate Bus Stand,23
2017-01-24,Swargate Bus Stand,23
2017-01-25,Swargate Bus Stand,22
2017-01-26,Swargate Bus Stand,20
2017-01-27,Swargate Bus Stand,18
2017-01-28,Swargate Bus Stand,18
2017-01-29,Swargate Bus Stand,24
2017-01-30,Swargate Bus Stand,31
2017-01-31,Swargate Bus Stand,18
2017-02-01,Swargate Bus Stand,13
2017-02-02,Swargate Bus Stand,7
2017-02-03,Swargate Bus Stand,9
2017-02-04,Swargate Bus Stand,9
2017-02-05,Swargate Bus Stand,13
2017-02-06,Swargate Bus Stand,12
2017-02-07,Swargate Bus Stand,15
2017-02-08,Swargate Bus Stand,21
2017-02-09,Swargate Bus Stand,31
2017-02-10,Swargate Bus Stand,26
2017-02-11,Swargate Bus Stand,30
2017-02-12,Swargate Bus Stand,26
2017-02-13,Swargate Bus Stand,21
2017-02-14,Swargate Bus Stand,26
2017-02-15,Swargate Bus Stand,24
2017-02-16,Swargate Bus Stand,17
2017-02-17,Swargate Bus Stand,16
2017-02-18,Swargate Bus Stand,17
2017-02-19,Swargate Bus Stand,19
2017-02-20,Swargate Bus Stand,19
2017-02-21,Swargate Bus Stand,18
2017-02-22,Swargate Bus Stand,22
2017-02-23,Swargate Bus Stand,15
2017-02-24,Swargate Bus Stand,8
2017-02-25,Swargate Bus Stand,7
2017-02-26,Swargate Bus Stand,7
2017-02-27,Swargate Bus Stand,7
2017-02-28,Swargate Bus Stand,5
2017-03-01,Swargate Bus Stand,6
2017-03-02,Swargate Bus Stand,7
2017-03-03,Swargate Bus Stand,7
2017-03-04,Swargate Bus Stand,12
2017-03-05,Swargate Bus Stand,13
2017-03-06,Swargate Bus Stand,15
2017-03-07,Swargate Bus Stand,17
2017-03-08,Swargate Bus Stand,15
2017-03-09,Swargate Bus Stand,16
2017-03-10,Swargate Bus Stand,22
2017-03-11,Swargate Bus Stand,13
2017-03-12,Swargate Bus Stand,12
2017-03-13,Swargate Bus Stand,13
2017-03-14,Swargate Bus Stand,15
2017-03-15,Swargate Bus Stand,16
2017-03-16,Swargate Bus Stand,11
2017-03-17,Swargate Bus Stand,16
2017-03-18,Swargate Bus Stand,13
2017-03-19,Swargate Bus Stand,10
2017-03-20,Swargate Bus Stand,7
2017-03-21,Swargate Bus Stand,10
2017-03-22,Swargate Bus Stand,9
2017-03-23,Swargate Bus Stand,4
2017-03-24,Swargate Bus Stand,3
2017-03-25,Swargate Bus Stand,5
2017-03-26,Swargate Bus Stand,8
2017-03-27,Swargate Bus Stand,6
2017-03-28,Swargate Bus Stand,11
2017-03-29,Swargate Bus Stand,12
2017-03-30,Swargate Bus Stand,13
2017-03-31,Swargate Bus Stand,16
2017-04-01,Swargate Bus Stand,12
2017-04-02,Swargate Bus Stand,14
2017-04-03,Swargate Bus Stand,12
2017-04-04,Swargate Bus Stand,13
2017-04-05,Swargate Bus Stand,15
2017-04-06,Swargate Bus Stand,17
2017-04-07,Swargate Bus Stand,18
2017-04-08,Swargate Bus Stand,14
2017-04-09,Swargate Bus Stand,19
2017-04-10,Swargate Bus Stand,20
2017-04-11,Swargate Bus Stand,19
2017-04-12,Swargate Bus Stand,18
2017-04-13,Swargate Bus Stand,6
2017-04-14,Swargate Bus Stand,6
2017-04-15,Swargate Bus Stand,7
2017-04-16,Swargate Bus Stand,3
2017-04-17,Swargate Bus Stand,6
2017-04-18,Swargate Bus Stand,6
2017-04-19,Swargate Bus Stand,7
2017-04-20,Swargate Bus Stand,11
2017-04-21,Swargate Bus Stand,11
2017-04-22,Swargate Bus Stand,14
2017-04-23,Swargate Bus Stand,14
2017-04-24,Swargate Bus Stand,14
2017-04-25,Swargate Bus Stand,10
2017-04-26,Swargate Bus Stand,13
2017-04-27,Swargate Bus Stand,12
2017-04-28,Swargate Bus Stand,10
2017-04-29,Swargate Bus Stand,15
2017-04-30,Swargate Bus Stand,9
2017-05-01,Swargate Bus Stand,13
2017-05-02,Swargate Bus Stand,9
2017-05-03,Swargate Bus Stand,8
2017-05-04,Swargate Bus Stand,10
2017-05-05,Swargate Bus Stand,6
2017-05-06,Swargate Bus Stand,8
2017-05-07,Swargate Bus Stand,5
2017-05-08,Swargate Bus Stand,7
2017-05-09,Swargate Bus Stand,4
2017-05-10,Swargate Bus Stand,5
2017-05-11,Swargate Bus Stand,5
2017-05-12,Swargate Bus Stand,2
2017-05-13,Swargate Bus Stand,6
2017-05-14,Swargate Bus Stand,7
2017-05-15,Swargate Bus Stand,4
2017-05-16,Swargate Bus Stand,10
2017-05-17,Swargate Bus Stand,8
2017-05-18,Swargate Bus Stand,8
2017-05-19,Swargate Bus Stand,4
2017-05-20,Swargate Bus Stand,7
2017-05-21,Swargate Bus Stand,3
2017-05-22,Swargate Bus Stand,7
2017-05-23,Swargate Bus Stand,7
2017-05-24,Swargate Bus Stand,14
2017-05-25,Swargate Bus Stand,9
2017-05-26,Swargate Bus Stand,3
2017-05-27,Swargate Bus Stand,4
2017-05-28,Swargate Bus Stand,6
2017-05-29,Swargate Bus Stand,4
2017-05-30,Swargate Bus Stand,6
2017-05-31,Swargate Bus Stand,4
2017-06-01,Swargate Bus Stand,6
2017-06-02,Swargate Bus Stand,2
2017-06-03,Swargate Bus Stand,4
2017-06-04,Swargate Bus Stand,4
2017-06-05,Swargate Bus Stand,3
2017-06-06,Swargate Bus Stand,2
2017-06-07,Swargate Bus Stand,3
2017-06-08,Swargate Bus Stand,4
2017-06-09,Swargate Bus Stand,3
2017-06-10,Swargate Bus Stand,6
2017-06-11,Swargate Bus Stand,8
2017-06-12,Swargate Bus Stand,3
2017-06-13,Swargate Bus Stand,6
2017-06-14,Swargate Bus Stand,4
2017-06-15,Swargate Bus Stand,4
2017-06-16,Swargate Bus Stand,8
2017-06-17,Swargate Bus Stand,6
2017-06-18,Swargate Bus Stand,3
2017-06-19,Swargate Bus Stand,5
2017-06-20,Swargate Bus Stand,7
2017-06-21,Swargate Bus Stand,4
2017-06-22,Swargate Bus Stand,3
2017-06-23,Swargate Bus Stand,5
2017-06-24,Swargate Bus Stand,2
2017-06-25,Swargate Bus Stand,5
2017-06-26,Swargate Bus Stand,10
2017-06-27,Swargate Bus Stand,5
2017-06-28,Swargate Bus Stand,5
2017-06-29,Swargate Bus Stand,8
