DateTime,Junction,Vehicles
2015-11-01,Vidya Nagar,15
2015-11-02,Vidya Nagar,13
2015-11-03,Vidya Nagar,10
2015-11-04,Vidya Nagar,7
2015-11-05,Vidya Nagar,9
2015-11-06,Vidya Nagar,6
2015-11-07,Vidya Nagar,9
2015-11-08,Vidya Nagar,8
2015-11-09,Vidya Nagar,11
2015-11-10,Vidya Nagar,12
2015-11-11,Vidya Nagar,15
2015-11-12,Vidya Nagar,17
2015-11-13,Vidya Nagar,16
2015-11-14,Vidya Nagar,15
2015-11-15,Vidya Nagar,16
2015-11-16,Vidya Nagar,12
2015-11-17,Vidya Nagar,12
2015-11-18,Vidya Nagar,16
2015-11-19,Vidya Nagar,17
2015-11-20,Vidya Nagar,20
2015-11-21,Vidya Nagar,17
2015-11-22,Vidya Nagar,19
2015-11-23,Vidya Nagar,20
2015-11-24,Vidya Nagar,15
2015-11-25,Vidya Nagar,14
2015-11-26,Vidya Nagar,12
2015-11-27,Vidya Nagar,14
2015-11-28,Vidya Nagar,12
2015-11-29,Vidya Nagar,12
2015-11-30,Vidya Nagar,11
2015-12-01,Vidya Nagar,13
2015-12-02,Vidya Nagar,14
2015-12-03,Vidya Nagar,12
2015-12-04,Vidya Nagar,22
2015-12-05,Vidya Nagar,32
2015-12-06,Vidya Nagar,31
2015-12-07,Vidya Nagar,35
2015-12-08,Vidya Nagar,26
2015-12-09,Vidya Nagar,34
2015-12-10,Vidya Nagar,30
2015-12-11,Vidya Nagar,27
2015-12-12,Vidya Nagar,27
2015-12-13,Vidya Nagar,24
2015-12-14,Vidya Nagar,26
2015-12-15,Vidya Nagar,29
2015-12-16,Vidya Nagar,32
2015-12-17,Vidya Nagar,30
2015-12-18,Vidya Nagar,27
2015-12-19,Vidya Nagar,21
2015-12-20,Vidya Nagar,18
2015-12-21,Vidya Nagar,19
2015-12-22,Vidya Nagar,13
2015-12-23,Vidya Nagar,11
2015-12-24,Vidya Nagar,11
2015-12-25,Vidya Nagar,11
2015-12-26,Vidya Nagar,14
2015-12-27,Vidya Nagar,15
2015-12-28,Vidya Nagar,29
2015-12-29,Vidya Nagar,33
2015-12-30,Vidya Nagar,32
2015-12-31,Vidya Nagar,32
2016-01-01,Vidya Nagar,29
2016-01-02,Vidya Nagar,27
2016-01-03,Vidya Nagar,26
2016-01-04,Vidya Nagar,28
2016-01-05,Vidya Nagar,26
2016-01-06,Vidya Nagar,25
2016-01-07,Vidya Nagar,29
2016-01-08,Vidya Nagar,26
2016-01-09,Vidya Nagar,24
2016-01-10,Vidya Nagar,25
2016-01-11,Vidya Nagar,20
2016-01-12,Vidya Nagar,18
2016-01-13,Vidya Nagar,18
2016-01-14,Vidya Nagar,13
2016-01-15,Vidya Nagar,13
2016-01-16,Vidya Nagar,10
2016-01-17,Vidya Nagar,12
2016-01-18,Vidya Nagar,13
2016-01-19,Vidya Nagar,11
2016-01-20,Vidya Nagar,13
2016-01-21,Vidya Nagar,22
2016-01-22,Vidya Nagar,26
2016-01-23,Vidya Nagar,27
2016-01-24,Vidya Nagar,31
2016-01-25,Vidya Nagar,24
2016-01-26,Vidya Nagar,23
2016-01-27,Vidya Nagar,26
2016-01-28,Vidya Nagar,26
2016-01-29,Vidya Nagar,24
2016-01-30,Vidya Nagar,23
2016-01-31,Vidya Nagar,25
2016-02-01,Vidya Nagar,26
2016-02-02,Vidya Nagar,24
2016-02-03,Vidya Nagar,26
2016-02-04,Vidya Nagar,24
2016-02-05,Vidya Nagar,19
2016-02-06,Vidya Nagar,20
2016-02-07,Vidya Nagar,18
2016-02-08,Vidya Nagar,13
2016-02-09,Vidya Nagar,13
2016-02-10,Vidya Nagar,9
2016-02-11,Vidya Nagar,12
2016-02-12,Vidya Nagar,12
2016-02-13,Vidya Nagar,15
2016-02-14,Vidya Nagar,16
2016-02-15,Vidya Nagar,23
2016-02-16,Vidya Nagar,24
2016-02-17,Vidya Nagar,25
2016-02-18,Vidya Nagar,24
2016-02-19,Vidya Nagar,26
2016-02-20,Vidya Nagar,22
2016-02-21,Vidya Nagar,20
2016-02-22,Vidya Nagar,20
2016-02-23,Vidya Nagar,22
2016-02-24,Vidya Nagar,26
2016-02-25,Vidya Nagar,22
2016-02-26,Vidya Nagar,21
2016-02-27,Vidya Nagar,21
2016-02-28,Vidya Nagar,21
2016-02-29,Vidya Nagar,16
2016-03-01,Vidya Nagar,18
2016-03-02,Vidya Nagar,19
2016-03-03,Vidya Nagar,14
2016-03-04,Vidya Nagar,12
2016-03-05,Vidya Nagar,13
2016-03-06,Vidya Nagar,14
2016-03-07,Vidya Nagar,14
2016-03-08,Vidya Nagar,13
2016-03-09,Vidya Nagar,20
2016-03-10,Vidya Nagar,22
2016-03-11,Vidya Nagar,26
2016-03-12,Vidya Nagar,26
2016-03-13,Vidya Nagar,21
2016-03-14,Vidya Nagar,23
2016-03-15,Vidya Nagar,23
2016-03-16,Vidya Nagar,19
2016-03-17,Vidya Nagar,19
2016-03-18,Vidya Nagar,20
2016-03-19,Vidya Nagar,24
2016-03-20,Vidya Nagar,18
2016-03-21,Vidya Nagar,19
2016-03-22,Vidya Nagar,16
2016-03-23,Vidya Nagar,17
2016-03-24,Vidya Nagar,16
2016-03-25,Vidya Nagar,16
2016-03-26,Vidya Nagar,10
2016-03-27,Vidya Nagar,9
2016-03-28,Vidya Nagar,8
2016-03-29,Vidya Nagar,7
2016-03-30,Vidya Nagar,9
2016-03-31,Vidya Nagar,8
2016-04-01,Vidya Nagar,12
2016-04-02,Vidya Nagar,13
2016-04-03,Vidya Nagar,17
2016-04-04,Vidya Nagar,14
2016-04-05,Vidya Nagar,14
2016-04-06,Vidya Nagar,14
2016-04-07,Vidya Nagar,14
2016-04-08,Vidya Nagar,11
2016-04-09,Vidya Nagar,15
2016-04-10,Vidya Nagar,13
2016-04-11,Vidya Nagar,12
2016-04-12,Vidya Nagar,17
2016-04-13,Vidya Nagar,18
2016-04-14,Vidya Nagar,17
2016-04-15,Vidya Nagar,16
2016-04-16,Vidya Nagar,15
2016-04-17,Vidya Nagar,13
2016-04-18,Vidya Nagar,16
2016-04-19,Vidya Nagar,11
2016-04-20,Vidya Nagar,8
2016-04-21,Vidya Nagar,10
2016-04-22,Vidya Nagar,10
2016-04-23,Vidya Nagar,10
2016-04-24,Vidya Nagar,9
2016-04-25,Vidya Nagar,11
2016-04-26,Vidya Nagar,12
2016-04-27,Vidya Nagar,18
2016-04-28,Vidya Nagar,14
2016-04-29,Vidya Nagar,17
2016-04-30,Vidya Nagar,14
2016-05-01,Vidya Nagar,14
2016-05-02,Vidya Nagar,14
2016-05-03,Vidya Nagar,12
2016-05-04,Vidya Nagar,14
2016-05-05,Vidya Nagar,18
2016-05-06,Vidya Nagar,13
2016-05-07,Vidya Nagar,16
2016-05-08,Vidya Nagar,18
2016-05-09,Vidya Nagar,14
2016-05-10,Vidya Nagar,14
2016-05-11,Vidya Nagar,13
2016-05-12,Vidya Nagar,15
2016-05-13,Vidya Nagar,11
2016-05-14,Vidya Nagar,10
2016-05-15,Vidya Nagar,9
2016-05-16,Vidya Nagar,8
2016-05-17,Vidya Nagar,8
2016-05-18,Vidya Nagar,10
2016-05-19,Vidya Nagar,11
2016-05-20,Vidya Nagar,17
2016-05-21,Vidya Nagar,19
2016-05-22,Vidya Nagar,22
2016-05-23,Vidya Nagar,23
2016-05-24,Vidya Nagar,23
2016-05-25,Vidya Nagar,24
2016-05-26,Vidya Nagar,24
2016-05-27,Vidya Nagar,19
2016-05-28,Vidya Nagar,19
2016-05-29,Vidya Nagar,20
2016-05-30,Vidya Nagar,31
2016-05-31,Vidya Nagar,25
2016-06-01,Vidya Nagar,35
2016-06-02,Vidya Nagar,21
2016-06-03,Vidya Nagar,24
2016-06-04,Vidya Nagar,19
2016-06-05,Vidya Nagar,19
2016-06-06,Vidya Nagar,18
2016-06-07,Vidya Nagar,17
2016-06-08,Vidya Nagar,12
2016-06-09,Vidya Nagar,10
2016-06-10,Vidya Nagar,14
2016-06-11,Vidya Nagar,15
2016-06-12,Vidya Nagar,14
2016-06-13,Vidya Nagar,34
2016-06-14,Vidya Nagar,40
2016-06-15,Vidya Nagar,38
2016-06-16,Vidya Nagar,36
2016-06-17,Vidya Nagar,27
2016-06-18,Vidya Nagar,48
2016-06-19,Vidya Nagar,43
2016-06-20,Vidya Nagar,41
2016-06-21,Vidya Nagar,35
2016-06-22,Vidya Nagar,40
2016-06-23,Vidya Nagar,40
2016-06-24,Vidya Nagar,40
2016-06-25,Vidya Nagar,36
2016-06-26,Vidya Nagar,37
2016-06-27,Vidya Nagar,35
2016-06-28,Vidya Nagar,28
2016-06-29,Vidya Nagar,25
2016-06-30,Vidya Nagar,19
2016-07-01,Vidya Nagar,21
2016-07-02,Vidya Nagar,20
2016-07-03,Vidya Nagar,15
2016-07-04,Vidya Nagar,17
2016-07-05,Vidya Nagar,14
2016-07-06,Vidya Nagar,19
2016-07-07,Vidya Nagar,22
2016-07-08,Vidya Nagar,30
2016-07-09,Vidya Nagar,26
2016-07-10,Vidya Nagar,26
2016-07-11,Vidya Nagar,23
2016-07-12,Vidya Nagar,23
2016-07-13,Vidya Nagar,24
2016-07-14,Vidya Nagar,22
2016-07-15,Vidya Nagar,24
2016-07-16,Vidya Nagar,26
2016-07-17,Vidya Nagar,27
2016-07-18,Vidya Nagar,22
2016-07-19,Vidya Nagar,23
2016-07-20,Vidya Nagar,22
2016-07-21,Vidya Nagar,22
2016-07-22,Vidya Nagar,22
2016-07-23,Vidya Nagar,17
2016-07-24,Vidya Nagar,15
2016-07-25,Vidya Nagar,12
2016-07-26,Vidya Nagar,13
2016-07-27,Vidya Nagar,9
2016-07-28,Vidya Nagar,14
2016-07-29,Vidya Nagar,13
2016-07-30,Vidya Nagar,15
2016-07-31,Vidya Nagar,27
2016-08-01,Vidya Nagar,39
2016-08-02,Vidya Nagar,40
2016-08-03,Vidya Nagar,36
2016-08-04,Vidya Nagar,34
2016-08-05,Vidya Nagar,33
2016-08-06,Vidya Nagar,28
2016-08-07,Vidya Nagar,30
2016-08-08,Vidya Nagar,26
2016-08-09,Vidya Nagar,30
2016-08-10,Vidya Nagar,35
2016-08-11,Vidya Nagar,38
2016-08-12,Vidya Nagar,34
2016-08-13,Vidya Nagar,30
2016-08-14,Vidya Nagar,27
2016-08-15,Vidya Nagar,24
2016-08-16,Vidya Nagar,21
2016-08-17,Vidya Nagar,16
2016-08-18,Vidya Nagar,16
2016-08-19,Vidya Nagar,13
2016-08-20,Vidya Nagar,11
2016-08-21,Vidya Nagar,13
2016-08-22,Vidya Nagar,15
2016-08-23,Vidya Nagar,17
2016-08-24,Vidya Nagar,18
2016-08-25,Vidya Nagar,24
2016-08-26,Vidya Nagar,41
2016-08-27,Vidya Nagar,29
2016-08-28,Vidya Nagar,25
2016-08-29,Vidya Nagar,25
2016-08-30,Vidya Nagar,26
2016-08-31,Vidya Nagar,25
2016-09-01,Vidya Nagar,24
2016-09-02,Vidya Nagar,26
2016-09-03,Vidya Nagar,24
2016-09-04,Vidya Nagar,28
2016-09-05,Vidya Nagar,22
2016-09-06,Vidya Nagar,23
2016-09-07,Vidya Nagar,18
2016-09-08,Vidya Nagar,21
2016-09-09,Vidya Nagar,20
2016-09-10,Vidya Nagar,15
2016-09-11,Vidya Nagar,13
2016-09-12,Vidya Nagar,10
2016-09-13,Vidya Nagar,10
2016-09-14,Vidya Nagar,12
2016-09-15,Vidya Nagar,9
2016-09-16,Vidya Nagar,11
2016-09-17,Vidya Nagar,15
2016-09-18,Vidya Nagar,16
2016-09-19,Vidya Nagar,16
2016-09-20,Vidya Nagar,12
2016-09-21,Vidya Nagar,11
2016-09-22,Vidya Nagar,14
2016-09-23,Vidya Nagar,16
2016-09-24,Vidya Nagar,18
2016-09-25,Vidya Nagar,13
2016-09-26,Vidya Nagar,17
2016-09-27,Vidya Nagar,15
2016-09-28,Vidya Nagar,19
2016-09-29,Vidya Nagar,15
2016-09-30,Vidya Nagar,19
2016-10-01,Vidya Nagar,15
2016-10-02,Vidya Nagar,15
2016-10-03,Vidya Nagar,13
2016-10-04,Vidya Nagar,14
2016-10-05,Vidya Nagar,10
2016-10-06,Vidya Nagar,8
2016-10-07,Vidya Nagar,9
2016-10-08,Vidya Nagar,9
2016-10-09,Vidya Nagar,9
2016-10-10,Vidya Nagar,9
2016-10-11,Vidya Nagar,16
2016-10-12,Vidya Nagar,18
2016-10-13,Vidya Nagar,18
2016-10-14,Vidya Nagar,17
2016-10-15,Vidya Nagar,18
2016-10-16,Vidya Nagar,14
2016-10-17,Vidya Nagar,15
2016-10-18,Vidya Nagar,13
2016-10-19,Vidya Nagar,15
2016-10-20,Vidya Nagar,19
2016-10-21,Vidya Nagar,18
2016-10-22,Vidya Nagar,21
2016-10-23,Vidya Nagar,17
2016-10-24,Vidya Nagar,17
2016-10-25,Vidya Nagar,15
2016-10-26,Vidya Nagar,17
2016-10-27,Vidya Nagar,14
2016-10-28,Vidya Nagar,13
2016-10-29,Vidya Nagar,15
2016-10-30,Vidya Nagar,12
2016-10-31,Vidya Nagar,12
2016-11-01,Vidya Nagar,13
2016-11-02,Vidya Nagar,14
2016-11-03,Vidya Nagar,13
2016-11-04,Vidya Nagar,16
2016-11-05,Vidya Nagar,26
2016-11-06,Vidya Nagar,21
2016-11-07,Vidya Nagar,26
2016-11-08,Vidya Nagar,24
2016-11-09,Vidya Nagar,26
2016-11-10,Vidya Nagar,22
2016-11-11,Vidya Nagar,24
2016-11-12,Vidya Nagar,26
2016-11-13,Vidya Nagar,23
2016-11-14,Vidya Nagar,29
2016-11-15,Vidya Nagar,31
2016-11-16,Vidya Nagar,27
2016-11-17,Vidya Nagar,27
2016-11-18,Vidya Nagar,26
2016-11-19,Vidya Nagar,23
2016-11-20,Vidya Nagar,21
2016-11-21,Vidya Nagar,19
2016-11-22,Vidya Nagar,16
2016-11-23,Vidya Nagar,11
2016-11-24,Vidya Nagar,11
2016-11-25,Vidya Nagar,15
2016-11-26,Vidya Nagar,12
2016-11-27,Vidya Nagar,12
2016-11-28,Vidya Nagar,18
2016-11-29,Vidya Nagar,31
2016-11-30,Vidya Nagar,42
2016-12-01,Vidya Nagar,37
2016-12-02,Vidya Nagar,30
2016-12-03,Vidya Nagar,33
2016-12-04,Vidya Nagar,28
2016-12-05,Vidya Nagar,29
2016-12-06,Vidya Nagar,28
2016-12-07,Vidya Nagar,28
2016-12-08,Vidya Nagar,31
2016-12-09,Vidya Nagar,28
2016-12-10,Vidya Nagar,26
2016-12-11,Vidya Nagar,26
2016-12-12,Vidya Nagar,27
2016-12-13,Vidya Nagar,24
2016-12-14,Vidya Nagar,23
2016-12-15,Vidya Nagar,20
2016-12-16,Vidya Nagar,19
2016-12-17,Vidya Nagar,20
2016-12-18,Vidya Nagar,16
2016-12-19,Vidya Nagar,19
2016-12-20,Vidya Nagar,16
2016-12-21,Vidya Nagar,17
2016-12-22,Vidya Nagar,19
2016-12-23,Vidya Nagar,30
2016-12-24,Vidya Nagar,44
2016-12-25,Vidya Nagar,35
2016-12-26,Vidya Nagar,34
2016-12-27,Vidya Nagar,31
2016-12-28,Vidya Nagar,31
2016-12-29,Vidya Nagar,28
2016-12-30,Vidya Nagar,34
2016-12-31,Vidya Nagar,37
2017-01-01,Vidya Nagar,37
2017-01-02,Vidya Nagar,34
2017-01-03,Vidya Nagar,31
2017-01-04,Vidya Nagar,29
2017-01-05,Vidya Nagar,28
2017-01-06,Vidya Nagar,32
2017-01-07,Vidya Nagar,23
2017-01-08,Vidya Nagar,20
2017-01-09,Vidya Nagar,16
2017-01-10,Vidya Nagar,18
2017-01-11,Vidya Nagar,17
2017-01-12,Vidya Nagar,16
2017-01-13,Vidya Nagar,17
2017-01-14,Vidya Nagar,18
2017-01-15,Vidya Nagar,25
2017-01-16,Vidya Nagar,31
2017-01-17,Vidya Nagar,32
2017-01-18,Vidya Nagar,31
2017-01-19,Vidya Nagar,29
2017-01-20,Vidya Nagar,31
2017-01-21,Vidya Nagar,31
2017-01-22,Vidya Nagar,30
2017-01-23,Vidya Nagar,28
2017-01-24,Vidya Nagar,29
2017-01-25,Vidya Nagar,36
2017-01-26,Vidya Nagar,29
2017-01-27,Vidya Nagar,28
2017-01-28,Vidya Nagar,30
2017-01-29,Vidya Nagar,29
2017-01-30,Vidya Nagar,24
2017-01-31,Vidya Nagar,20
2017-02-01,Vidya Nagar,15
2017-02-02,Vidya Nagar,14
2017-02-03,Vidya Nagar,13
2017-02-04,Vidya Nagar,8
2017-02-05,Vidya Nagar,12
2017-02-06,Vidya Nagar,14
2017-02-07,Vidya Nagar,15
2017-02-08,Vidya Nagar,20
2017-02-09,Vidya Nagar,26
2017-02-10,Vidya Nagar,26
2017-02-11,Vidya Nagar,26
2017-02-12,Vidya Nagar,21
2017-02-13,Vidya Nagar,26
2017-02-14,Vidya Nagar,29
2017-02-15,Vidya Nagar,20
2017-02-16,Vidya Nagar,22
2017-02-17,Vidya Nagar,25
2017-02-18,Vidya Nagar,27
2017-02-19,Vidya Nagar,26
2017-02-20,Vidya Nagar,24
2017-02-21,Vidya Nagar,25
2017-02-22,Vidya Nagar,21
2017-02-23,Vidya Nagar,17
2017-02-24,Vidya Nagar,16
2017-02-25,Vidya Nagar,15
2017-02-26,Vidya Nagar,15
2017-02-27,Vidya Nagar,15
2017-02-28,Vidya Nagar,8
2017-03-01,Vidya Nagar,12
2017-03-02,Vidya Nagar,13
2017-03-03,Vidya Nagar,12
2017-03-04,Vidya Nagar,16
2017-03-05,Vidya Nagar,18
2017-03-06,Vidya Nagar,17
2017-03-07,Vidya Nagar,18
2017-03-08,Vidya Nagar,15
2017-03-09,Vidya Nagar,21
2017-03-10,Vidya Nagar,18
2017-03-11,Vidya Nagar,17
2017-03-12,Vidya Nagar,17
2017-03-13,Vidya Nagar,19
2017-03-14,Vidya Nagar,22
2017-03-15,Vidya Nagar,18
2017-03-16,Vidya Nagar,17
2017-03-17,Vidya Nagar,22
2017-03-18,Vidya Nagar,17
2017-03-19,Vidya Nagar,15
2017-03-20,Vidya Nagar,15
2017-03-21,Vidya Nagar,11
2017-03-22,Vidya Nagar,12
2017-03-23,Vidya Nagar,11
2017-03-24,Vidya Nagar,8
2017-03-25,Vidya Nagar,11
2017-03-26,Vidya Nagar,9
2017-03-27,Vidya Nagar,8
2017-03-28,Vidya Nagar,15
2017-03-29,Vidya Nagar,18
2017-03-30,Vidya Nagar,18
2017-03-31,Vidya Nagar,20
2017-04-01,Vidya Nagar,20
2017-04-02,Vidya Nagar,20
2017-04-03,Vidya Nagar,15
2017-04-04,Vidya Nagar,16
2017-04-05,Vidya Nagar,16
2017-04-06,Vidya Nagar,21
2017-04-07,Vidya Nagar,27
2017-04-08,Vidya Nagar,26
2017-04-09,Vidya Nagar,24
2017-04-10,Vidya Nagar,20
2017-04-11,Vidya Nagar,20
2017-04-12,Vidya Nagar,21
2017-04-13,Vidya Nagar,14
2017-04-14,Vidya Nagar,16
2017-04-15,Vidya Nagar,14
2017-04-16,Vidya Nagar,11
2017-04-17,Vidya Nagar,11
2017-04-18,Vidya Nagar,9
2017-04-19,Vidya Nagar,12
2017-04-20,Vidya Nagar,16
2017-04-21,Vidya Nagar,26
2017-04-22,Vidya Nagar,33
2017-04-23,Vidya Nagar,35
2017-04-24,Vidya Nagar,33
2017-04-25,Vidya Nagar,32
2017-04-26,Vidya Nagar,28
2017-04-27,Vidya Nagar,33
2017-04-28,Vidya Nagar,27
2017-04-29,Vidya Nagar,24
2017-04-30,Vidya Nagar,27
2017-05-01,Vidya Nagar,29
2017-05-02,Vidya Nagar,26
2017-05-03,Vidya Nagar,27
2017-05-04,Vidya Nagar,28
2017-05-05,Vidya Nagar,26
2017-05-06,Vidya Nagar,23
2017-05-07,Vidya Nagar,19
2017-05-08,Vidya Nagar,18
2017-05-09,Vidya Nagar,13
2017-05-10,Vidya Nagar,12
2017-05-11,Vidya Nagar,13
2017-05-12,Vidya Nagar,16
2017-05-13,Vidya Nagar,17
2017-05-14,Vidya Nagar,23
2017-05-15,Vidya Nagar,26
2017-05-16,Vidya Nagar,29
2017-05-17,Vidya Nagar,28
2017-05-18,Vidya Nagar,31
2017-05-19,Vidya Nagar,23
2017-05-20,Vidya Nagar,28
2017-05-21,Vidya Nagar,25
2017-05-22,Vidya Nagar,24
2017-05-23,Vidya Nagar,27
2017-05-24,Vidya Nagar,28
2017-05-25,Vidya Nagar,24
2017-05-26,Vidya Nagar,29
2017-05-27,Vidya Nagar,26
2017-05-28,Vidya Nagar,25
2017-05-29,Vidya Nagar,23
2017-05-30,Vidya Nagar,21
2017-05-31,Vidya Nagar,16
2017-06-01,Vidya Nagar,16
2017-06-02,Vidya Nagar,15
2017-06-03,Vidya Nagar,11
2017-06-04,Vidya Nagar,9
2017-06-05,Vidya Nagar,10
2017-06-06,Vidya Nagar,14
2017-06-07,Vidya Nagar,17
2017-06-08,Vidya Nagar,21
2017-06-09,Vidya Nagar,28
2017-06-10,Vidya Nagar,30
2017-06-11,Vidya Nagar,29
2017-06-12,Vidya Nagar,26
2017-06-13,Vidya Nagar,26
2017-06-14,Vidya Nagar,27
2017-06-15,Vidya Nagar,26
2017-06-16,Vidya Nagar,23
2017-06-17,Vidya Nagar,28
2017-06-18,Vidya Nagar,31
2017-06-19,Vidya Nagar,26
2017-06-20,Vidya Nagar,24
2017-06-21,Vidya Nagar,24
2017-06-22,Vidya Nagar,21
2017-06-23,Vidya Nagar,22
2017-06-24,Vidya Nagar,16
2017-06-25,Vidya Nagar,13
2017-06-26,Vidya Nagar,11
2017-06-27,Vidya Nagar,13
2017-06-28,Vidya Nagar,12
2017-06-29,Vidya Nagar,11
